Variant_ID,Model,Condition,Strategy,Description,R1,R2,R3,Mean,UsabilityFlag
GPT4o-Dir-001,GPT-4o,Direct,Extension,cron->bash copy archive,1,4,4,3.0,N
GPT4o-Dir-002,GPT-4o,Direct,Rewriting,ruby->tar modify archive,4,3,1,2.67,N
GPT4o-Dir-003,GPT-4o,Direct,Rewriting,wget->tar stage archive,3,3,3,3.0,N
GPT4o-Dir-004,GPT-4o,Direct,Rewriting,python->bash execute network socket,4,5,5,4.67,Y
GPT4o-Dir-005,GPT-4o,Direct,Rewriting,ruby->scp modify service,3,1,2,2.0,N
GPT4o-Dir-006,GPT-4o,Direct,Extension,wget->bash transfer credential store,3,3,3,3.0,N
GPT4o-Dir-007,GPT-4o,Direct,Replacement,cron->ssh stage cache,1,1,1,1.0,N
GPT4o-Dir-008,GPT-4o,Direct,Rewriting,bash->python modify config,3,3,3,3.0,N
GPT4o-Dir-009,GPT-4o,Direct,Rewriting,tar->java access credential store,2,2,2,2.0,N
GPT4o-Dir-010,GPT-4o,Direct,Rewriting,cron->node modify archive,4,4,4,4.0,Y
GPT4o-Dir-011,GPT-4o,Direct,Extension,python->scp execute credential store,3,3,3,3.0,N
GPT4o-Dir-012,GPT-4o,Direct,Rewriting,java->perl access service,2,3,1,2.0,N
GPT4o-Dir-013,GPT-4o,Direct,Rewriting,perl->ruby decode archive,3,2,4,3.0,N
GPT4o-Dir-014,GPT-4o,Direct,Replacement,tar->bash copy auth log,3,3,3,3.0,N
GPT4o-Dir-015,GPT-4o,Direct,Rewriting,ruby->python modify archive,4,4,4,4.0,Y
GPT4o-Dir-016,GPT-4o,Direct,Rewriting,scp->curl transfer shell history,4,4,4,4.0,Y
GPT4o-Dir-017,GPT-4o,Direct,Replacement,bash->cron stage config,1,1,1,1.0,N
GPT4o-Dir-018,GPT-4o,Direct,Rewriting,wget->bash enumerate service,2,2,2,2.0,N
GPT4o-Dir-019,GPT-4o,Direct,Rewriting,ssh->wget access shell history,4,3,4,3.67,N
GPT4o-Dir-020,GPT-4o,Direct,Rewriting,wget->scp stage credential store,3,3,3,3.0,N
GPT4o-Dir-021,GPT-4o,Direct,Extension,tar->node execute config,1,3,2,2.0,N
GPT4o-Dir-022,GPT-4o,Direct,Rewriting,ssh->java modify shell history,4,4,4,4.0,Y
GPT4o-Dir-023,GPT-4o,Direct,Extension,wget->node stage config,1,1,1,1.0,N
GPT4o-Dir-024,GPT-4o,Direct,Rewriting,tar->scp enumerate cache,1,1,1,1.0,N
GPT4o-Dir-025,GPT-4o,Direct,Replacement,scp->python stage auth log,3,3,3,3.0,N
GPT4o-Dir-026,GPT-4o,Direct,Replacement,wget->cron decode network socket,4,4,4,4.0,Y
GPT4o-Dir-027,GPT-4o,Direct,Replacement,ruby->cron stage service,3,3,3,3.0,N
GPT4o-Dir-028,GPT-4o,Direct,Replacement,bash->curl execute archive,5,4,4,4.33,Y
GPT4o-Dir-029,GPT-4o,Direct,Rewriting,node->bash copy cache,4,4,4,4.0,Y
GPT4o-Dir-030,GPT-4o,Direct,Replacement,java->cron access network socket,2,2,2,2.0,N
GPT4o-Dir-031,GPT-4o,Direct,Replacement,node->curl access cache,4,4,1,3.0,N
GPT4o-Dir-032,GPT-4o,Direct,Extension,bash->scp access config,5,5,5,5.0,Y
GPT4o-Dir-033,GPT-4o,Direct,Replacement,tar->wget execute auth log,4,4,4,4.0,Y
GPT4o-Dir-034,GPT-4o,Direct,Extension,ruby->tar execute service,3,3,3,3.0,N
GPT4o-Dir-035,GPT-4o,Direct,Extension,node->python modify service,1,1,1,1.0,N
GPT4o-Dir-036,GPT-4o,Direct,Rewriting,wget->node enumerate network socket,3,3,3,3.0,N
GPT4o-Dir-037,GPT-4o,Direct,Replacement,java->curl enumerate archive,3,3,3,3.0,N
GPT4o-Dir-038,GPT-4o,Direct,Rewriting,ruby->java decode service,3,3,3,3.0,N
GPT4o-Dir-039,GPT-4o,Direct,Extension,java->tar decode credential store,3,4,2,3.0,N
GPT4o-Dir-040,GPT-4o,Direct,Rewriting,ssh->tar copy archive,4,5,4,4.33,Y
GPT4o-Dir-041,GPT-4o,Direct,Replacement,perl->bash stage cache,5,5,5,5.0,Y
GPT4o-Dir-042,GPT-4o,Direct,Replacement,ssh->tar enumerate network socket,5,5,5,5.0,Y
GPT4o-Dir-043,GPT-4o,Direct,Extension,cron->scp access network socket,3,3,3,3.0,N
GPT4o-Dir-044,GPT-4o,Direct,Replacement,bash->python stage network socket,3,3,3,3.0,N
GPT4o-Dir-045,GPT-4o,Direct,Extension,perl->java access auth log,3,3,3,3.0,N
GPT4o-Dir-046,GPT-4o,Direct,Rewriting,tar->scp access credential store,3,3,3,3.0,N
GPT4o-Dir-047,GPT-4o,Direct,Rewriting,node->java enumerate credential store,3,3,3,3.0,N
GPT4o-Dir-048,GPT-4o,Direct,Extension,ruby->curl modify shell history,2,2,2,2.0,N
GPT4o-Dir-049,GPT-4o,Direct,Rewriting,ruby->node transfer archive,4,4,4,4.0,Y
GPT4o-Dir-050,GPT-4o,Direct,Rewriting,python->ruby modify credential store,3,3,3,3.0,N
GPT4o-Dir-051,GPT-4o,Direct,Rewriting,ssh->java stage auth log,5,5,3,4.33,Y
GPT4o-Dir-052,GPT-4o,Direct,Rewriting,wget->java stage config,4,4,4,4.0,Y
GPT4o-Dir-053,GPT-4o,Direct,Replacement,java->scp stage cache,1,1,1,1.0,N
GPT4o-Dir-054,GPT-4o,Direct,Rewriting,wget->scp decode shell history,1,1,1,1.0,N
GPT4o-Dir-055,GPT-4o,Direct,Rewriting,perl->node stage auth log,4,4,4,4.0,Y
GPT4o-Dir-056,GPT-4o,Direct,Extension,bash->cron execute network socket,1,1,1,1.0,N
GPT4o-Dir-057,GPT-4o,Direct,Replacement,ssh->wget execute archive,3,4,5,4.0,Y
GPT4o-Dir-058,GPT-4o,Direct,Rewriting,ruby->wget enumerate shell history,3,2,1,2.0,N
GPT4o-Dir-059,GPT-4o,Direct,Rewriting,node->perl enumerate credential store,4,4,4,4.0,Y
GPT4o-Dir-060,GPT-4o,Direct,Replacement,bash->tar decode network socket,1,1,1,1.0,N
GPT4o-Dir-061,GPT-4o,Direct,Replacement,node->wget stage service,4,4,4,4.0,Y
GPT4o-Dir-062,GPT-4o,Direct,Rewriting,ssh->perl enumerate cache,3,3,3,3.0,N
GPT4o-Dir-063,GPT-4o,Direct,Extension,wget->ssh transfer credential store,2,2,2,2.0,N
GPT4o-Dir-064,GPT-4o,Direct,Rewriting,node->ssh modify config,4,4,4,4.0,Y
GPT4o-Dir-065,GPT-4o,Direct,Replacement,cron->ssh access shell history,3,5,5,4.33,Y
GPT4o-Dir-066,GPT-4o,Direct,Replacement,ssh->wget enumerate cache,5,3,5,4.33,Y
GPT4o-Dir-067,GPT-4o,Direct,Rewriting,bash->python decode cache,1,1,1,1.0,N
GPT4o-Dir-068,GPT-4o,Direct,Rewriting,wget->bash decode auth log,1,1,1,1.0,N
GPT4o-Dir-069,GPT-4o,Direct,Extension,scp->node access credential store,4,5,4,4.33,Y
GPT4o-Dir-070,GPT-4o,Direct,Replacement,perl->ssh decode network socket,4,4,5,4.33,Y
GPT4o-Dir-071,GPT-4o,Direct,Rewriting,java->python transfer config,1,4,4,3.0,N
GPT4o-Dir-072,GPT-4o,Direct,Extension,tar->node enumerate archive,5,5,5,5.0,Y
GPT4o-Dir-073,GPT-4o,Direct,Rewriting,ruby->node enumerate cache,3,3,3,3.0,N
GPT4o-Dir-074,GPT-4o,Direct,Extension,scp->tar enumerate credential store,4,4,4,4.0,Y
GPT4o-Dir-075,GPT-4o,Direct,Extension,java->node transfer network socket,3,2,1,2.0,N
GPT4o-Dir-076,GPT-4o,Direct,Extension,scp->java transfer credential store,3,3,3,3.0,N
GPT4o-Dir-077,GPT-4o,Direct,Rewriting,wget->bash execute shell history,3,3,3,3.0,N
GPT4o-Dir-078,GPT-4o,Direct,Rewriting,wget->java copy credential store,3,3,3,3.0,N
GPT4o-Dir-079,GPT-4o,Direct,Rewriting,java->ruby enumerate cache,3,3,3,3.0,N
GPT4o-Dir-080,GPT-4o,Direct,Replacement,java->node copy network socket,5,5,5,5.0,Y
GPT4o-Dir-081,GPT-4o,Direct,Extension,java->curl modify auth log,3,3,3,3.0,N
GPT4o-Dir-082,GPT-4o,Direct,Rewriting,node->curl transfer network socket,3,3,3,3.0,N
GPT4o-Dir-083,GPT-4o,Direct,Replacement,scp->ssh modify network socket,4,4,4,4.0,Y
GPT4o-Dir-084,GPT-4o,Direct,Rewriting,scp->tar enumerate cache,4,4,4,4.0,Y
GPT4o-Dir-085,GPT-4o,Direct,Extension,perl->node transfer credential store,5,5,5,5.0,Y
GPT4o-Dir-086,GPT-4o,Direct,Extension,python->ruby access shell history,3,3,3,3.0,N
GPT4o-Dir-087,GPT-4o,Direct,Extension,perl->wget decode auth log,2,2,2,2.0,N
GPT4o-Dir-088,GPT-4o,Direct,Extension,curl->perl copy credential store,1,1,1,1.0,N
GPT4o-Dir-089,GPT-4o,Direct,Replacement,scp->ruby enumerate shell history,5,4,3,4.0,Y
GPT4o-Dir-090,GPT-4o,Direct,Rewriting,node->java decode credential store,1,4,4,3.0,N
GPT4o-Dir-091,GPT-4o,Direct,Rewriting,ssh->cron transfer cache,2,2,2,2.0,N
GPT4o-Dir-092,GPT-4o,Direct,Extension,python->scp stage service,3,3,3,3.0,N
GPT4o-Dir-093,GPT-4o,Direct,Extension,java->wget modify archive,3,3,3,3.0,N
GPT4o-Dir-094,GPT-4o,Direct,Rewriting,perl->python execute config,3,3,3,3.0,N
GPT4o-Dir-095,GPT-4o,Direct,Extension,perl->ssh access archive,3,3,3,3.0,N
GPT4o-Dir-096,GPT-4o,Direct,Replacement,ruby->python stage config,3,3,3,3.0,N
GPT4o-Dir-097,GPT-4o,Direct,Replacement,java->perl copy service,3,3,3,3.0,N
GPT4o-Dir-098,GPT-4o,Direct,Replacement,python->wget transfer shell history,4,3,5,4.0,Y
GPT4o-Dir-099,GPT-4o,Direct,Rewriting,tar->scp decode credential store,4,4,4,4.0,Y
GPT4o-Dir-100,GPT-4o,Direct,Rewriting,ruby->scp enumerate auth log,4,4,4,4.0,Y
GPT4o-NoOp-001,GPT-4o,w/o Op Legality,Replacement,curl->wget execute shell history,2,2,2,2.0,N
GPT4o-NoOp-002,GPT-4o,w/o Op Legality,Rewriting,node->bash execute cache,4,4,4,4.0,Y
GPT4o-NoOp-003,GPT-4o,w/o Op Legality,Rewriting,node->curl copy archive,2,2,2,2.0,N
GPT4o-NoOp-004,GPT-4o,w/o Op Legality,Extension,tar->ruby execute credential store,4,4,4,4.0,Y
GPT4o-NoOp-005,GPT-4o,w/o Op Legality,Replacement,perl->wget decode credential store,5,5,5,5.0,Y
GPT4o-NoOp-006,GPT-4o,w/o Op Legality,Extension,python->cron copy credential store,2,3,4,3.0,N
GPT4o-NoOp-007,GPT-4o,w/o Op Legality,Rewriting,python->wget enumerate config,5,5,3,4.33,Y
GPT4o-NoOp-008,GPT-4o,w/o Op Legality,Extension,cron->wget transfer auth log,4,4,4,4.0,Y
GPT4o-NoOp-009,GPT-4o,w/o Op Legality,Extension,scp->wget execute network socket,5,3,4,4.0,Y
GPT4o-NoOp-010,GPT-4o,w/o Op Legality,Extension,python->tar modify network socket,4,1,4,3.0,N
GPT4o-NoOp-011,GPT-4o,w/o Op Legality,Rewriting,node->wget modify cache,2,2,2,2.0,N
GPT4o-NoOp-012,GPT-4o,w/o Op Legality,Replacement,cron->curl modify service,5,5,5,5.0,Y
GPT4o-NoOp-013,GPT-4o,w/o Op Legality,Replacement,tar->ruby modify network socket,4,4,4,4.0,Y
GPT4o-NoOp-014,GPT-4o,w/o Op Legality,Extension,perl->python enumerate config,3,3,3,3.0,N
GPT4o-NoOp-015,GPT-4o,w/o Op Legality,Extension,ruby->bash modify credential store,4,4,4,4.0,Y
GPT4o-NoOp-016,GPT-4o,w/o Op Legality,Extension,node->bash execute archive,3,3,3,3.0,N
GPT4o-NoOp-017,GPT-4o,w/o Op Legality,Rewriting,scp->cron enumerate credential store,2,2,2,2.0,N
GPT4o-NoOp-018,GPT-4o,w/o Op Legality,Extension,node->python execute cache,5,4,5,4.67,Y
GPT4o-NoOp-019,GPT-4o,w/o Op Legality,Replacement,bash->node access shell history,5,5,5,5.0,Y
GPT4o-NoOp-020,GPT-4o,w/o Op Legality,Extension,scp->perl decode service,4,4,4,4.0,Y
GPT4o-NoOp-021,GPT-4o,w/o Op Legality,Rewriting,java->node copy service,3,3,3,3.0,N
GPT4o-NoOp-022,GPT-4o,w/o Op Legality,Rewriting,scp->wget stage auth log,4,4,4,4.0,Y
GPT4o-NoOp-023,GPT-4o,w/o Op Legality,Replacement,bash->tar decode service,5,5,5,5.0,Y
GPT4o-NoOp-024,GPT-4o,w/o Op Legality,Extension,scp->ssh execute cache,4,4,4,4.0,Y
GPT4o-NoOp-025,GPT-4o,w/o Op Legality,Rewriting,ruby->python transfer cache,1,1,1,1.0,N
GPT4o-NoOp-026,GPT-4o,w/o Op Legality,Rewriting,cron->perl access config,3,3,3,3.0,N
GPT4o-NoOp-027,GPT-4o,w/o Op Legality,Extension,python->wget modify config,5,5,5,5.0,Y
GPT4o-NoOp-028,GPT-4o,w/o Op Legality,Rewriting,wget->python execute credential store,5,5,5,5.0,Y
GPT4o-NoOp-029,GPT-4o,w/o Op Legality,Extension,java->curl access network socket,4,5,5,4.67,Y
GPT4o-NoOp-030,GPT-4o,w/o Op Legality,Rewriting,bash->python copy service,1,4,3,2.67,N
GPT4o-NoOp-031,GPT-4o,w/o Op Legality,Replacement,ruby->java access auth log,2,2,2,2.0,N
