actorID	actor_type	objectID	object	action	timestamp
NOPROCESSNAME_1848	PRINCIPAL_LOCAL	NOPROCESSNAME	FILE_OBJECT_BLOCK	executed	26515735
NOPROCESSNAME_1848	PRINCIPAL_LOCAL	NOPROCESSNAME_516	SUBJECT_PROCESS	fork	26515735
tiles-cloudfront.cdn.mozilla.net	NETFLOW_OBJECT	52.85.117.155	NETFLOW_OBJECT	resolve	26520234
tiles-cloudfront.cdn.mozilla.net	NETFLOW_OBJECT	52.85.117.161	NETFLOW_OBJECT	resolve	26520284
tiles-cloudfront.cdn.mozilla.net	NETFLOW_OBJECT	52.85.117.8	NETFLOW_OBJECT	resolve	26520734
tiles-cloudfront.cdn.mozilla.net	NETFLOW_OBJECT	52.85.117.89	NETFLOW_OBJECT	resolve	26520734
tiles-cloudfront.cdn.mozilla.net/images/b18c52ee5445fb37ed466d695f7e018efd0ad58f.95655.png	NetFlowObject	tiles-cloudfront.cdn.mozilla.net	NETFLOW_OBJECT	web_request	26516683
tiles-cloudfront.cdn.mozilla.net/images/12abda9be001265d0721947e520149fb781562b8.10301.png	NetFlowObject	tiles-cloudfront.cdn.mozilla.net	NETFLOW_OBJECT	web_request	26516683
tiles-cloudfront.cdn.mozilla.net/images/0152ecdf5b18e095d255486b18c3f6a04ba6300e.27260.png	NetFlowObject	tiles-cloudfront.cdn.mozilla.net	NETFLOW_OBJECT	web_request	26516683
tiles-cloudfront.cdn.mozilla.net/images/af34c0541c6cdff392ec4414cb5949fa7012271d.17141.png	NetFlowObject	tiles-cloudfront.cdn.mozilla.net	NETFLOW_OBJECT	web_request	26516683
tiles-cloudfront.cdn.mozilla.net/images/779e35acbfe52553d7f36add885732a12ec95476.39795.png	NetFlowObject	tiles-cloudfront.cdn.mozilla.net	NETFLOW_OBJECT	web_request	26516683
google.com	NETFLOW_OBJECT	216.58.192.142	NETFLOW_OBJECT	resolve	26520286
google.com/	NetFlowObject	google.com	NETFLOW_OBJECT	web_request	26516686
www.google.com	NETFLOW_OBJECT	172.217.0.4	NETFLOW_OBJECT	resolve	26520286
www.google.com	NETFLOW_OBJECT	172.217.6.100	NETFLOW_OBJECT	resolve	26520725
www.google.com	NETFLOW_OBJECT	192.36.148.17	NETFLOW_OBJECT	resolve	26520725
www.google.com	NETFLOW_OBJECT	172.217.1.36	NETFLOW_OBJECT	resolve	26520730
www.google.com	NETFLOW_OBJECT	198.41.0.4	NETFLOW_OBJECT	resolve	26520730
www.google.com/	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516686
www.google.com/?gws_rd=ssl	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516687
ocsp.pki.goog	NETFLOW_OBJECT	216.58.192.238	NETFLOW_OBJECT	resolve	26520239
ocsp.pki.goog	NETFLOW_OBJECT	172.217.4.78	NETFLOW_OBJECT	resolve	26520287
ocsp.pki.goog	NETFLOW_OBJECT	172.217.1.46	NETFLOW_OBJECT	resolve	26521201
ocsp.pki.goog	NETFLOW_OBJECT	216.58.192.174	NETFLOW_OBJECT	resolve	26521529
ocsp.pki.goog/gtsgiag3	NetFlowObject	ocsp.pki.goog	NETFLOW_OBJECT	web_request	26516687
www.google.com/images/hpp/icon-privacy-shield-rgb-120dp.png	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516687
ssl.gstatic.com	NETFLOW_OBJECT	216.58.216.227	NETFLOW_OBJECT	resolve	26520287
ssl.gstatic.com	NETFLOW_OBJECT	172.217.4.195	NETFLOW_OBJECT	resolve	26520728
ssl.gstatic.com	NETFLOW_OBJECT	216.239.34.10	NETFLOW_OBJECT	resolve	26520728
ssl.gstatic.com	NETFLOW_OBJECT	216.239.38.10	NETFLOW_OBJECT	resolve	26520736
ssl.gstatic.com	NETFLOW_OBJECT	172.217.9.35	NETFLOW_OBJECT	resolve	26520955
ssl.gstatic.com	NETFLOW_OBJECT	172.217.4.227	NETFLOW_OBJECT	resolve	26520955
ssl.gstatic.com	NETFLOW_OBJECT	172.217.0.3	NETFLOW_OBJECT	resolve	26521581
ssl.gstatic.com	NETFLOW_OBJECT	172.217.4.67	NETFLOW_OBJECT	resolve	26521581
ssl.gstatic.com/gb/images/i2_2ec824b0.png	NetFlowObject	ssl.gstatic.com	NETFLOW_OBJECT	web_request	26516687
lh3.googleusercontent.com	NETFLOW_OBJECT	172.217.5.1	NETFLOW_OBJECT	resolve	26520287
lh3.googleusercontent.com	NETFLOW_OBJECT	216.58.192.129	NETFLOW_OBJECT	resolve	26520319
lh3.googleusercontent.com	NETFLOW_OBJECT	172.217.4.193	NETFLOW_OBJECT	resolve	26520728
lh3.googleusercontent.com	NETFLOW_OBJECT	172.217.4.225	NETFLOW_OBJECT	resolve	26520788
lh3.googleusercontent.com/-h1hzguwn3ru/aaaaaaaaaai/aaaaaaaaaaa/abtnlbdyijzvvinqydog3b-ykbg6pbvawa/s64-c-mo/photo.jpg	NetFlowObject	lh3.googleusercontent.com	NETFLOW_OBJECT	web_request	26516687
www.google.com/logos/doodles/2018/day-of-the-dead-2018-5705827255058432-law.gif	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516687
www.google.com/xjs/_/js/k=xjs.s.en_us.byx5aqwm01e.o/m=sxfkg7bdhcfegbivluemc8mtfof7gzcrmhbfet4bactjw5qbtbahgcy33vzccdoscrhsmidpopbjsamvytsertg8oteuz938cvwnddews9tlcxpltpbyq43ffdcsi/am=dibfmiea8n8kiaecq2cdbeagxkae/rt=j/d=1/dg=2/rs=act90ohlt0903ch7gxmk4aiikyuetynajg	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516687
www.google.com/images/nav_logo242.png	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516687
www.gstatic.com	NETFLOW_OBJECT	216.58.192.227	NETFLOW_OBJECT	resolve	26520287
www.gstatic.com	NETFLOW_OBJECT	172.217.0.3	NETFLOW_OBJECT	resolve	26520287
www.gstatic.com	NETFLOW_OBJECT	172.217.4.99	NETFLOW_OBJECT	resolve	26520728
www.gstatic.com	NETFLOW_OBJECT	216.239.34.10	NETFLOW_OBJECT	resolve	26520728
www.gstatic.com	NETFLOW_OBJECT	216.239.38.10	NETFLOW_OBJECT	resolve	26520733
www.gstatic.com/og/_/js/k=og.og2.en_us.jvz6scntxcy.o/rt=j/m=drtdef/exm=infot/d=1/ed=1/rs=aa2yrttfxushvjsiq_u0u8lrjdls3ymvoa	NetFlowObject	www.gstatic.com	NETFLOW_OBJECT	web_request	26516687
www.google.com/gen_204?s=webhp&t=aft&atyp=csi&ei=nwvdw7pcnpaqjgtj150q&rt=wsrt.465aft.609prt.365	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516687
www.google.com/gen_204?s=webhp&t=aft&atyp=csi&ei=nwvdw7pcnpaqjgtj150q&rt=wsrt.465aft.609prt.365	NetFlowObject	www.google.com/?gws_rd=ssl	NetFlowObject	refer	26516687
www.google.com/gen_204?atyp=csi&ei=nwvdw7pcnpaqjgtj150q&s=jsa&jsi=st.0et.focusn.idpopbcn.1&zx=1541213088365	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516688
www.google.com/gen_204?atyp=csi&ei=nwvdw7pcnpaqjgtj150q&s=jsa&jsi=st.0et.focusn.idpopbcn.1&zx=1541213088365	NetFlowObject	www.google.com/?gws_rd=ssl	NetFlowObject	refer	26516688
www.google.com/complete/search?q&cp=0&client=psy-ab&xssi=t&gs_ri=gws-wiz&hl=en&authuser=0&psi=nwvdw7pcnpaqjgtj150q.1541213088387	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516688
www.google.com/xjs/_/js/k=xjs.s.en_us.byx5aqwm01e.o/am=dibfmiea8n8kiaecq2cdbeagxkae/rt=j/d=1/exm=sxfkg7bdhcfegbivluemc8mtfof7gzcrmhbfet4bactjw5qbtbahgcy33vzccdoscrhsmidpopbjsamvytsertg8oteuz938cvwnddews9tlcxpltpbyq43ffdcsi/ed=1/dg=2/rs=act90ohlt0903ch7gxmk4aiikyuetynajg/m=sb_wizaaabdasyncdvlfootiflipv6lummusfxz7ccd?xjs=s1	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516688
clients5.google.com	NETFLOW_OBJECT	216.58.216.206	NETFLOW_OBJECT	resolve	26520288
clients5.google.com	NETFLOW_OBJECT	172.217.1.46	NETFLOW_OBJECT	resolve	26520729
clients5.google.com	NETFLOW_OBJECT	172.217.6.14	NETFLOW_OBJECT	resolve	26520736
clients5.google.com/pagead/drt/dn/	NetFlowObject	clients5.google.com	NETFLOW_OBJECT	web_request	26516688
apis.google.com	NETFLOW_OBJECT	172.217.9.78	NETFLOW_OBJECT	resolve	26520288
apis.google.com	NETFLOW_OBJECT	172.217.8.174	NETFLOW_OBJECT	resolve	26520729
apis.google.com	NETFLOW_OBJECT	216.58.192.142	NETFLOW_OBJECT	resolve	26520838
apis.google.com/_/scs/abc-static/_/js/k=gapi.gapi.en.cup85wbt4di.o/m=gapi_iframesgoogleapis_clientplusone/rt=j/sv=1/d=1/ed=1/rs=ahpooo-xbqda2dfvo9hxbj_dgncv84sjma/cb=gapi.loaded_0	NetFlowObject	apis.google.com	NETFLOW_OBJECT	web_request	26516688
ogs.google.com	NETFLOW_OBJECT	172.217.4.78	NETFLOW_OBJECT	resolve	26520288
ogs.google.com	NETFLOW_OBJECT	216.58.192.238	NETFLOW_OBJECT	resolve	26520295
ogs.google.com/u/0/_/notifications/count	NetFlowObject	ogs.google.com	NETFLOW_OBJECT	web_request	26516688
ogs.google.com/u/0/_/notifications/count	NetFlowObject	www.google.com	NETFLOW_OBJECT	refer	26516690
ogs.google.com/u/0/_/notifications/count	NetFlowObject	mail.google.com/mail/u/0	NetFlowObject	refer	30731571
clients5.google.com/pagead/drt/dn/dn.js	NetFlowObject	clients5.google.com	NETFLOW_OBJECT	web_request	26516688
www.google.com/gen_204?atyp=csi&ei=nwvdw7pcnpaqjgtj150q&s=webhp&t=all&imn=4&adh=&ima=2&ime=2&imeb=0&imeo=0&sys=hc.4&rt=aft.611dcl.384iml.611ol.1639prt.365xjs.1078xjsee.1078xjses.913xjsls.383wsrt.465cst.0dnst.5rqst.230rspt.95rqstt.278unt.199cstt.205dit.840&zx=1541213088992	NetFlowObject	www.google.com	NETFLOW_OBJECT	web_request	26516688
