[[Snapshot 0] [Node /windows/system32/searchindexer.exe_2476] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/searchindexer.exe_2476 | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/system32/searchindexer.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/searchindexer.exe | label=0 | frequency=1
[[Snapshot 0] [Node /windows/system32/mmc.exe_2876] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/mmc.exe_2876 | label=0 | frequency=10
[[Snapshot 0] [Node c:"/users/aalsahee/appdata/roaming/microsoft/windows/start menu/desktop.ini] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee/appdata/roaming/microsoft/windows/start menu/desktop.ini | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/stdole2.tlb] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/stdole2.tlb | label=0 | frequency=5
[[Snapshot 0] [Node /programdata/microsoft/event viewer/windows logs/channel_0.xml] type=5 | type_name=PRINCIPAL_LOCAL | properties=/programdata/microsoft/event viewer/windows logs/channel_0.xml | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/mmc.exe_2876] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/mmc.exe_2876 | label=0 | frequency=4
[[Snapshot 0] [Node /windows/system32/svchost.exe_828] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/svchost.exe_828 | label=0 | frequency=5
[[Snapshot 0] [Node c:"/windows/system32/svchost.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/svchost.exe | label=0 | frequency=16
[[Snapshot 0] [Node /users/aalsahee/appdata/local/microsoft/event viewer/settings.xml] type=5 | type_name=PRINCIPAL_LOCAL | properties=/users/aalsahee/appdata/local/microsoft/event viewer/settings.xml | label=0 | frequency=1
[[Snapshot 0] [Node NOPROCESSNAME_468] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_468 | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/mmc.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/mmc.exe | label=0 | frequency=1
[[Snapshot 0] [Node c:"/users] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users | label=0 | frequency=1
[[Snapshot 0] [Node c:"/users/aalsahee/appdata/local/temp] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee/appdata/local/temp | label=0 | frequency=1
[[Snapshot 0] [Node c:"//] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"// | label=0 | frequency=6
[[Snapshot 0] [Node c:"/users/desktop.ini] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/desktop.ini | label=0 | frequency=1
